City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Cabo San Lucas,MX,2022-03-30 21:15:45,22.8909,-109.9124,79.61,60,0,12.66
68,Casper,US,2022-03-30 21:14:23,42.8666,-106.3131,46.99,17,0,14.97
69,Half Moon Bay,US,2022-03-30 21:16:02,37.4636,-122.4286,66.42,68,75,25.32
70,Longyearbyen,SJ,2022-03-30 21:16:02,78.2186,15.6401,6.64,56,0,8.05
71,Fortuna,US,2022-03-30 21:16:03,40.5982,-124.1573,56.93,73,75,21.85
72,Barrow,US,2022-03-30 21:15:01,71.2906,-156.7887,-5.78,77,40,14.97
73,Mujiayingzi,CN,2022-03-30 21:16:03,42.1167,118.7833,30.88,63,7,4.59
74,Ushuaia,AR,2022-03-30 21:16:03,-54.8,-68.3,47.86,66,75,3.44
75,Vila Franca Do Campo,PT,2022-03-30 21:16:04,37.7167,-25.4333,59.41,79,83,1.21
76,Ransang,PH,2022-03-30 21:16:04,8.9603,117.5828,78.15,84,71,3.76
77,Labytnangi,RU,2022-03-30 21:16:04,66.6572,66.4183,14.85,92,100,11.27
78,Porbandar,IN,2022-03-30 21:16:05,21.6422,69.6093,76.77,78,0,6.96
79,Kitami,JP,2022-03-30 21:16:05,43.8031,143.8908,33.12,73,94,3.33
80,Sidi Ali,DZ,2022-03-30 21:16:06,36.0998,0.4206,54.84,84,53,17.69
81,Pangkalanbuun,ID,2022-03-30 21:16:06,-2.6833,111.6167,74.5,96,39,0.78
82,Saskylakh,RU,2022-03-30 21:16:06,71.9167,114.0833,-6.36,99,100,7.16
83,Yulara,AU,2022-03-30 21:16:07,-25.2406,130.9889,67.84,49,94,8.05
84,Port Elizabeth,ZA,2022-03-30 21:16:07,-33.918,25.5701,60.1,82,0,3.44
85,Ola,RU,2022-03-30 21:16:07,59.5833,151.2833,12.0,78,100,7.94
86,Yellowknife,CA,2022-03-30 21:11:23,62.456,-114.3525,23.41,63,99,1.99
87,Henties Bay,NA,2022-03-30 21:16:08,-22.116,14.2845,63.39,88,5,7.29
88,Mar Del Plata,AR,2022-03-30 21:16:08,-38.0023,-57.5575,55.87,62,20,15.99
89,Qaanaaq,GL,2022-03-30 21:16:09,77.484,-69.3632,15.53,80,63,4.21
90,Hualmay,PE,2022-03-30 21:16:09,-11.0964,-77.6139,73.94,75,63,11.43
91,Bangolo,CI,2022-03-30 21:16:09,7.0069,-7.475,80.83,64,70,1.99
92,Sitka,US,2022-03-30 21:16:10,57.0531,-135.33,44.49,70,75,6.91
93,Kaitangata,NZ,2022-03-30 21:16:10,-46.2817,169.8464,57.2,83,100,1.7
94,Tasiilaq,GL,2022-03-30 21:16:10,65.6145,-37.6368,32.16,97,100,12.5
95,Sedona,US,2022-03-30 21:15:35,34.8697,-111.761,66.76,45,75,4.61
96,Karasburg,NA,2022-03-30 21:16:11,-28.0167,18.75,73.09,41,57,6.35
97,Nador,MA,2022-03-30 21:16:11,35.174,-2.9287,61.05,63,0,12.66
98,Pachperwa,IN,2022-03-30 21:16:12,27.5167,82.65,75.27,48,0,6.29
99,Busselton,AU,2022-03-30 21:16:12,-33.65,115.3333,66.13,82,33,14.34
100,Kunszentmarton,HU,2022-03-30 21:16:12,46.8392,20.2888,53.13,96,100,6.87
101,Gushikawa,JP,2022-03-30 21:16:13,26.3544,127.8686,72.99,94,100,0.0
102,Bethel,US,2022-03-30 21:15:03,41.3712,-73.414,44.47,36,100,4.61
103,Tiksi,RU,2022-03-30 21:16:13,71.6872,128.8694,-14.37,100,99,3.85
104,Airai,TL,2022-03-30 21:16:13,-8.9266,125.4092,58.44,89,69,2.15
105,Cidreira,BR,2022-03-30 21:16:14,-30.1811,-50.2056,62.17,77,100,13.53
106,Bandarbeyla,SO,2022-03-30 21:16:14,9.4942,50.8122,79.63,75,8,12.93
107,Kidal,ML,2022-03-30 21:16:15,18.4411,1.4078,82.92,3,7,8.48
108,Snezhnogorsk,RU,2022-03-30 21:16:15,69.1933,33.2531,2.98,79,100,5.08
109,Arrecife,ES,2022-03-30 21:16:15,28.963,-13.5477,64.38,63,20,11.5
110,Tura,IN,2022-03-30 21:16:16,25.5198,90.2201,70.5,73,69,2.06
111,Esperance,AU,2022-03-30 21:16:16,-33.8667,121.9,63.73,76,100,13.09
112,Gibara,CU,2022-03-30 21:16:17,21.1097,-76.1317,83.52,58,0,22.21
113,Juneau,US,2022-03-30 21:16:17,58.3019,-134.4197,39.22,96,100,24.16
114,Invercargill,NZ,2022-03-30 21:16:17,-46.4,168.35,56.53,88,97,3.29
115,Beringovskiy,RU,2022-03-30 21:16:18,63.05,179.3167,-6.14,90,20,13.44
116,Oktyabrskoye,RU,2022-03-30 21:16:18,43.0645,44.7417,35.74,75,100,2.24
117,Havre-Saint-Pierre,CA,2022-03-30 21:16:19,50.2334,-63.5986,43.16,56,75,16.11
118,Chunskiy,RU,2022-03-30 21:16:19,56.0815,99.6342,28.44,77,100,5.37
119,Broken Hill,AU,2022-03-30 21:16:19,-31.95,141.4333,53.92,74,1,21.83
120,Yar-Sale,RU,2022-03-30 21:16:20,66.8333,70.8333,26.98,98,100,6.82
121,Shubarshi,KZ,2022-03-30 21:16:20,48.5872,57.1869,34.41,79,100,11.18
122,Grindavik,IS,2022-03-30 21:16:20,63.8424,-22.4338,37.87,70,75,5.75
